Mass,LogL,LogL_lb,LogL_ub
0.09500000000000001,-3.18359479406805,-3.199860284251521,-3.1683031250191815
0.09600000000000002,-3.168910609806439,-3.1850222330819538,-3.153631527481158
0.09700000000000002,-3.1542650005338366,-3.1702792896835916,-3.1392270033263814
0.09800000000000002,-3.139771929388704,-3.15575920530003,-3.1246514969296575
0.09900000000000002,-3.1256002024473277,-3.141153865836866,-3.1104015275542682
0.1,-3.1113764589903226,-3.1269154231426315,-3.0959869964369346
0.101,-3.097176942896973,-3.112819742760344,-3.081761433942942
0.10200000000000001,-3.083305421799839,-3.09886953501871,-3.067469838913415
0.10300000000000001,-3.069433973011531,-3.0849945953158917,-3.0536494595684296
0.10400000000000001,-3.055706288708511,-3.0713033477081946,-3.039844050884449
0.10500000000000001,-3.042314572132308,-3.058050386813023,-3.026184077231184
0.10600000000000001,-3.028862925966907,-3.044654665619951,-3.012630229721256
0.10700000000000001,-3.015570152024866,-3.031457963121767,-2.9991004656200344
0.10800000000000001,-3.0024898697092093,-3.0184136139729314,-2.9858761062504087
0.10900000000000001,-2.9895788194361326,-3.005439137000653,-2.972736077207852
0.11000000000000001,-2.9767111504128545,-2.992796309164718,-2.9596797666006767
0.11007472155582318,-2.975734256115748,-2.991867703200107,-2.9587724073084813
0.11100000000000002,-2.9640484903760997,-2.9803494595806477,-2.9468960675829066
0.11200000000000002,-2.951605321130778,-2.9680625753690624,-2.934120383061185
0.11300000000000002,-2.9391611039686634,-2.9556632139025885,-2.921398420140574
0.11400000000000002,-2.9268540332746764,-2.9434964984567418,-2.909014514378665
0.11500000000000002,-2.9147922132779036,-2.9315129855182005,-2.8969251824642765
0.11600000000000002,-2.902864466744541,-2.9193907240003707,-2.8849328614556704
0.11700000000000002,-2.89109449235114,-2.907643721407075,-2.8731222912252297
0.11800000000000002,-2.8793222711827626,-2.896126741969706,-2.861277214983132
0.11900000000000002,-2.8679572576776784,-2.884420976131664,-2.8497393144326075
0.12000000000000002,-2.8563716143276094,-2.873133254194271,-2.8383062757681166
0.12100000000000002,-2.8452608857525936,-2.861905656175926,-2.826947643667365
0.12200000000000003,-2.8341473146863176,-2.8508165694220056,-2.8158251915181993
0.12290698460103891,-2.824197811409314,-2.840945270977209,-2.805906768230522
0.12300000000000003,-2.823285794786595,-2.8399215362565142,-2.8049892722742262
0.12400000000000003,-2.812381656684999,-2.829152888940637,-2.7939601216741408
0.12500000000000003,-2.8016784812873983,-2.81848194603322,-2.7833363293098805
0.1251806565391655,-2.7997398321466336,-2.816620573155935,-2.7814830691018857
0.12600000000000003,-2.791271013956415,-2.8079919929080965,-2.7726803977862486
0.12700000000000003,-2.780784039423847,-2.7974780446184506,-2.762580668909326
0.12800000000000003,-2.77046185038939,-2.7872250205837994,-2.7523132827490895
0.129,-2.7603652484151517,-2.7769764699745547,-2.7423067585557708
0.13,-2.7504806503150427,-2.767008185855829,-2.732448167472917
0.131,-2.740677434131224,-2.7571486354872374,-2.722861173436776
0.132,-2.730972813885802,-2.747265244688869,-2.713295093436783
0.133,-2.7214168521248796,-2.737606081760355,-2.7037981814494794
0.134,-2.7120579515803995,-2.728164027736885,-2.6946500545551184
0.135,-2.7027210164669446,-2.718662533965673,-2.685626085552005
0.136,-2.693628735991597,-2.709465096748407,-2.6766187564930286
0.137,-2.6846799239363355,-2.7001918211757774,-2.6678956141598835
0.138,-2.675725411700009,-2.6911724795518923,-2.659159186828485
0.139,-2.6670562328613716,-2.6824695518147883,-2.6506187484423513
0.14,-2.6584402793688158,-2.6734919037928813,-2.642251599794884
0.14100000000000001,-2.6498912643987973,-2.6648330113723944,-2.6341030146639
0.14200000000000002,-2.641584126335602,-2.656423922188771,-2.6259060208805973
0.14300000000000002,-2.633295160827908,-2.6478047524982267,-2.617842482526394
0.14400000000000002,-2.625192718740707,-2.6395283495104254,-2.6101004365468183
0.14500000000000002,-2.6172520549213223,-2.631436868440156,-2.602330794619269
0.14505466870481754,-2.61676084835021,-2.6309676643781414,-2.6017969299828922
0.14600000000000002,-2.6093771402052077,-2.623285019575211,-2.5946181573402933
0.14700000000000002,-2.60160057642545,-2.61532450095635,-2.587207006889815
0.14800000000000002,-2.594020330727446,-2.6074972134888497,-2.5797878932268485
0.14900000000000002,-2.5865511659733498,-2.5997092615482473,-2.5726405815576605
0.15000000000000002,-2.5791876562770173,-2.5923012835635433,-2.565442342164749
0.15100000000000002,-2.5716863044200986,-2.584775834473005,-2.558415942774869
0.15200000000000002,-2.564650387841516,-2.5772413857840504,-2.5514299625618717
0.15300000000000002,-2.5574246107421166,-2.5699974325669572,-2.544712909809618
0.15400000000000003,-2.5504616651963934,-2.5627825191361557,-2.5380250653486183
0.15500000000000003,-2.5435157347949495,-2.55576907224537,-2.531413958534865
